NAME,11/25/16,11/26/16,11/27/16,TOTAL_CUBA
Alabama,0,0,0,0
Arizona,0,0,0,0
Arkansas,0,0,0,0
California,0,0,3,3
Colorado,0,0,4,4
Connecticut,0,0,3,3
Delaware,0,0,0,0
Florida,0,2,24,26
Georgia,0,0,6,6
Hawaii,0,0,3,3
Idaho,0,0,0,0
Illinois,0,0,0,0
Indiana,0,0,5,5
Iaowa,0,0,0,0
Kansas,0,0,0,0
Kentucky,0,0,1,1
Louisiana,0,0,0,0
Maine,0,0,0,0
Maryland,0,0,2,2
Massachusetts,0,1,20,21
Michigan,0,0,1,1
Minnesota,0,0,4,4
Mississippi,0,0,1,1
Missouri,0,0,4,4
Montana,0,0,0,0
Nebraska,0,0,0,0
Nevada,0,0,0,0
New Hampshire,0,0,0,0
New Jersey,0,0,0,0
New Mexico,0,0,0,0
New York,0,0,0,0
North Carolina,0,0,0,0
North Dakota,0,0,0,0
Ohio,0,0,0,0
Oklahoma,0,0,0,0
Oregon,0,0,0,0
Pennsylvania,0,0,0,0
Rhode Island,0,0,0,0
South Carolina,0,0,0,0
South Dakota,0,0,0,0
Tennessee,0,0,0,0
Texas,0,0,0,0
Utah,0,0,0,0
Vermont,0,0,0,0
Virginia,0,0,0,0
Washington,0,0,0,0
West Virginia,0,0,0,0
Wisconsin,0,0,0,0
Wyoming,0,0,0,0
